title,rating,description,release_date,genre,casts,duration,country,production,m_link
"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",6.5,"Daniel, a young man from the provinces come to the city and moves from one gay subculture to the next. His adventures begin on the streets of Berlin, where the shy brunette Daniel meets the blonde Clemens, who invites him home for coffee and offers him a place to stay. Soon Daniel is living with Clemens and believes he has found the love of his life. The two try to imitate a bourgeois marriage and its lifestyle. But after four months of tedium, Daniel is cruised by a rich older man who entices him to move into his villa, where he encounters a group of older gays, pretentious in their appreciations of fine art and classical music, who fawn over him.",1971-07-04,Drama,"['Ernst Kuchling', 'Berryt Bohlen', 'Norbert Losch', 'Bernd Feuerhelm', 'Dietmar Kracht']",67,Germany,"['Bavaria Film', 'WDR']",https://cineb.net/movie/watch-it-is-not-the-homosexual-who-is-perverse-but-the-society-in-which-he-lives-free-85443
Happy Together,7.6,"A comedy about a group of Mainland tourists visiting HK to see the re-unification festivities. Thanks to a reservation mix-up, they have nowhere to stay and end up in a house belonging to the boss of bumbling housekeeper Lam Siu-fa.",1997-09-06,Comedy,"['Christine Ng', 'Lydia Shum', 'Max Mok Siu-Chung', 'Ng Man-Tat', 'Fuli Wang']",88,Hong Kong,['Times Production'],https://cineb.net/movie/watch-happy-together-free-85440
City of the Sun,7.1,"Up to 50 percent of the world’s manganese, a vital metal across the globe, used to be mined in Chiatura, in western Georgia. Today, it resembles an apocalyptic ghost town. Mzis qalaqi portrays a few of the remaining inhabitants. Music teacher Zurab dismantles ramshackle concrete buildings and sells the iron girders to make some money on the side. Archil still works in the mine but his real passion is the local amateur theatre group. Despite being malnourished, two young female athletes still train stoically for the next Olympic Games.",2017-02-10,Documentary,"['Archil Khvedelidze', 'Zurab Gelashvili', 'Mariam Pkhaladze', 'Irina Pkhaladze']",104,Qatar,['Office of Film Architecture'],https://cineb.net/movie/watch-city-of-the-sun-free-85437
Austerlitz,6.2,"Napoleon Bonaparte crowns himself emperor and fights the English, Austrians and Russians in 1802.",1960-06-17,History,"['Martine Carol', 'Pierre Mondy', 'Michel Simon', 'Vittorio De Sica', 'Leslie Caron']",166,Italy,"['Galatea Film', 'Compagnie Internationale de Productions Cinématographiques (CIPRA)', 'Michael Arthur Films', 'Dubrava Film', 'Lyre Films']",https://cineb.net/movie/watch-austerlitz-free-85434
A Brand New Life,7.4,"Young Jinhee is taken by her father to an orphanage near Seoul. He leaves her there never to return, and she struggles to come to grips with her fate. Jinhee desperately believes her father will come back for her and take her on a trip. The film is based on the experiences of the director, an ethnic Korean who was adopted by a French couple in the 1970s.",2009-10-29,Drama,"['Kim Sae-ron', 'Sol Kyung-gu', 'Go Ah-sung', 'Moon Sung-keun', 'Oh Man-seok']",92,France,"['NOWFILM', 'Gloria Films']",https://cineb.net/movie/watch-a-brand-new-life-free-85431
Peacock’s Paradise,5.4,"On a winter’s day, Nena gathers her family to celebrate her birthday. Il paradiso del pavone  is a small journey into the intimacy and authenticity of human beings: a film about an extended family in which everyone talks but no one really listens. Until an unexpected event forces the family members to look into each other’s eyes and reveal themselves for what they really are.",2022-07-07,Drama,"['Fabrizio Ferracane', 'Dominique Sanda', 'Alba Rohrwacher', 'Maya Sansa', 'Leonardo Lidi']",89,Germany,"['Vivo Film', 'RAI Cinema', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'Film- und Medienstiftung NRW', 'Match Factory Productions']",https://cineb.net/movie/watch-peacocks-paradise-free-85422
Il Buco,6.7,"In August of 1961, speleologists from the prosperous Northern region of Italy travel to the plateau of Calabria, where time seems to have stopped. Intruders make the discovery of the Bifurto Abyss, one of the deepest caves in the world, while under the watchful eye of an elderly shepherd who is the only witness to the unspoiled land.",2021-09-23,Drama,"['Mila Costi', 'Paolo Cossi', 'Angelo Spadaro', 'Denise Trombin', 'Claudia Candusso']",93,Germany,"[""Fonds Eurimages du Conseil de l'Europe"", 'Essential Filmproduktion', 'Regione Lazio', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'Fondazione Calabria Film Commission', 'Cinereach', 'RAI Cinema', 'ZDF/Arte', 'Société Parisienne de Production', 'Medienboard Berlin-Brandenburg GmbH', 'Comune di San Lorenzo Bellizzi', 'CNC', 'Pollino National Park', 'Doppio Nodo Double Bind', 'Itlalian Speleological Society']",https://cineb.to/movie/watch-il-buco-free-85419
Summer Ghost,7.1,"Tomoya, Aoi, and Ryo are high school students who met online. An urban legend speaks of a ""summer ghost,"" a spirit girl who appears when fireworks are set off. Tomoya cannot live the life he envisioned for himself. Aoi cannot find her place in the world. Ryo has his once shining future suddenly pulled away. Each has their own reason for needing to meet the summer ghost. On a summer night when life and death cross paths, where will each of their emotions take them?",2021-11-12,Animation,"['Rina Kawaei', 'Miyuri Shimabukuro', 'Chiaki Kobayashi', 'Shimazaki Nobunaga']",40,Japan,"['Avex Pictures', 'FLAT STUDIO']",https://cineb.net/movie/watch-summer-ghost-free-85416
Soul of a Beast,5.4,"In a delirious summer rush, teenage father Gabriel falls in love with enigmatic Corey, the girlfriend of his best friend Joel. Deeply hurt about their deceitful intentions, Joel reveals the truth about Gabriel‘s entangled past – there isn’t just one child. Overwhelmed with ‘the biggest decision of his life’, Gabriel is thrown into the wilderness of his heart, where fantasy replaces reality.",2021-08-06,Drama,"['Luna Wedler', 'Ella Rumpf', 'Lolita Chammah', 'Pablo Caprez', 'Dagny Gioulami']",110,Switzerland,[],https://cineb.net/movie/watch-soul-of-a-beast-free-85413
Rose,6.2,"Rose, 78-year-old, has just lost her beloved husband. When her grief gives way to a powerful impulse to live her life, making her realize that she can still redefine herself as a woman, the whole balance of the family is upset.",2021-12-08,Drama,"['Françoise Fabian', 'Anne Suarez', 'Pascal Elbé', 'Aure Atika', 'Mehdi Nebbou']",102,France,"['Silex Films', 'France 3 Cinéma', 'Apollo Films', 'Les Productions du Couscous (FR)', 'Germaine Films (FR)']",https://cineb.net/movie/watch-rose-free-85410
Patti Smith: Electric Poet,6.9,"Patti Smith disturbs music, poetry, and genre codes at 20. She's a legend despite never playing. Poet, actress, musician. Inflexible. 74-year-old multi-talented artist. The film chronicles Patti Smith's life. The artist says: ""I aimed for greatness. I was detached. I felt distant from everyone, not just children. I thought I was an alien growing up."" Patti's Jehovah's Witness mother raised her in rural New Jersey. Patti Smith leaves because it doesn't suit her art.",2022-01-07,Documentary,['Patti Smith'],54,France,['ARTE'],https://cineb.to/movie/watch-patti-smith-electric-poet-free-85407
Passion,5.7,"After escaping a traumatic relationship, Maja Borg studies Christianity and BDSM. Religion and subculture may seem worlds apart, but they may have a healing power. Borg explores the European LGBT scene and the Christian legacy of northern Europe to uncover her essence. Passion and suffering are two sides of the same complex case in 'Passion,' which fuses literary and cinematic traditions. The abstractions provide the film's confrontations human dimension, when Borg is tested body and soul. This humanity may connect theology and BDSM emotionally and spiritually.",2022-01-30,Documentary,['Maja Borg'],72,Spain,[],https://cineb.to/movie/watch-passion-free-85404
To Kill the Mother,5.8,"In Madrid, Spain, during a rainy day, Dorita, an elegant and magnetic mature woman, meets Noa, an attractive young man.",2022-07-30,Drama,"['Greta Fernández', 'Iván Pellicer', 'Jorge Clemente', 'Mariona Terés', 'La Bien Querida']",20,Spain,['Colegas Films'],https://cineb.net/movie/watch-to-kill-the-mother-free-85401
Loving Highsmith,7.1,"Based on Patricia Highsmith’s personal writings and accounts of her family and lovers, the film casts new light on the famous thriller writer’s life and oeuvre, permeated by themes of love and its defining influence on identity.",2022-04-07,Documentary,"['Gwendoline Christie', 'Patricia Highsmith']",83,Germany,"['ARTE', 'SRF', 'ZDF', 'RSI Radiotelevisione Svizzera', 'Lichtblick Film', 'Ensemble Film GmbH']",https://cineb.net/movie/watch-loving-highsmith-free-85398
Everything Went Fine,6.8,"When André, 85, has a stroke, Emmanuelle hurries to her father’s bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it’s your own father?",2021-07-18,Drama,"['Sophie Marceau', 'Géraldine Pailhas', 'André Dussollier', 'Hanna Schygulla', 'Grégory Gadebois']",113,Belgium,"['Mandarin Cinéma', 'Canal+', 'Tax Shelter du Gouvernement Fédéral Belge', 'Ciné+', 'France Télévisions', 'France 2 Cinéma', 'Playtime Production', 'SCOPE Pictures', 'Région Ile-de-France', 'Cofinova 17', 'FOZ', 'Indéfilms 9', 'Sofica Manon 10', 'CNC', 'La Banque Postale Images 14', 'SG Image 2019', 'Palatine Étoile 18']",https://cineb.net/movie/watch-everything-went-fine-free-85395
"Death of a Virgin, and the Sin of Not Living",6.6,Etienne is taken by his friends to a prostitute for the first time. Three troubled teens on their way to win their acceptance into manhood. Though several unexpected occurrences take Etienne on an unforeseen journey into himself.,2021-03-01,Drama,"['Jean Paul Franjieh', 'Maria Doueihi', 'Etienne Assal', 'Adnan Khabbaz', 'Thuraya Baghdadi']",87,Lebanon,['Bee on set productions'],https://cineb.net/movie/watch-death-of-a-virgin-and-the-sin-of-not-living-free-85392
Citizen Ashe,7.4,Follows the life and career of Arthur Ashe.,2021-12-03,Documentary,"['John McEnroe', 'Harry Edwards', 'Johnnie Ashe', 'Billie Jean King', 'Jeanne Moutousammy-Ashe']",95,United States of America,"['Whitewater Films', 'Dogwoof Films', 'Artemis Rising', 'CNN Films', 'Stick Figure Productions', 'Sidewinder Films', 'Get Lifted Film Company', 'Rexpix']",https://cineb.net/movie/watch-citizen-ashe-free-85389
Cinema Sabaya,7.3,"Eight women, Arab and Jewish, take part in a video workshop hosted by Rona, young filmmaker. With each camera take, the group dynamic forces the women to challenge their beliefs as they get to know one other.",2021-10-08,Drama,"['Dana Ivgy', 'Khawlah Hag-Debsy', 'Aseel Farhat', 'Liora Levi', 'Orit Samuel']",91,Israel,['Green Productions'],https://cineb.net/movie/watch-cinema-sabaya-free-85386
Animals,6.6,"Brahim is a young man, and secretly gay. At his mother’s birthday party, tensions around his unaccepted sexuality become unbearable. Brahim flees the oppressive family home into the night, where a terrible encounter awaits...",2021-03-09,Crime,"['Soufiane Chilah', 'Anne-Marie Loop', 'Salim Talbi', 'Alain Bellot', 'Vincent Overath']",91,Belgium,"['A Team Productions', '10.80 Films', 'Maje Productions', 'Les Films du Fleuve']",https://cineb.net/movie/watch-animals-free-85383
Gone in the Night,4.9,"Upon arriving at a remote cabin in the redwoods, Kath and her boyfriend find a mysterious younger couple already there — the rental has apparently been double-booked. They decide to share the cabin with these strangers until the next morning, but her boyfriend disappears with the young woman, which sends Kath in a spiral to find an explanation for their sudden breakup — but the truth is far stranger than she could have imagined.",2022-07-15,Mystery,"['John Gallagher Jr.', 'Winona Ryder', 'Dustin Ingram', 'Dermot Mulroney', 'Owen Teague']",90,United States of America,"['BoulderLight Pictures', 'MM2 Asia']",https://cineb.net/movie/watch-gone-in-the-night-free-85371
Albatross,3.9,"Worlds collide at an awkward dinner party in 1959 New England. Tables turn when a progressive biracial couple attends dinner at the imposing home of an unexceptional artist and questionable psychiatrist. By daybreak, they find themselves pawns in a cynical game that exposes the cracks in their facades.",2022-02-19,Drama,"['Jill Frappier', 'Sarah Orenstein', 'David Huband', 'Romaine Waite', 'David Keeley']",97,United States of America,"['Albatross Feature Film', 'Convoke Media']",https://cineb.net/movie/watch-albatross-free-85368
Allegoria,4.5,"A group of artists’ lives becomes unwittingly entangled as their obsessions and insecurities manifest monsters, demons and death.",2022-08-01,Horror,"['John Ennis', 'Krsy Fox', 'Edward Hong', 'Scout Taylor-Compton', 'Bryce Johnson']",70,United States of America,['OneFox Productions'],https://cineb.net/movie/watch-allegoria-free-85365
Safe House 1618,3.6,"A revenge plot traps 3 sisters and their getaway driver in a safe house until they can escape the country, but they may be running from so much more than just the police.",2022-08-01,Crime,"['Jesse Davis', 'Brittney Carpenter', 'Jasmine Day', 'Ryan Fredericks', 'Matison Card']",105,United States of America,['Outsiders Film Company'],https://cineb.net/movie/watch-safe-house-1618-free-85362
Kung Fu Ghost,4.1,"Daisy inherits a spooky old estate from her late grandfather, a martial arts master whom she never met. When she shows up on the property, she soon discovers the house is haunted by her grandfather's spirit and the ghost of a mysterious man named William. When treasure-hunting criminal descend on Daisy's new home, she is forced to call on her new supernatural friends to fend them off.",2022-08-01,Action,"['Mark Atkinson', 'Jennifer N. Linch', 'Noah Sargent', 'Amber Grayson', 'Eddie Lain']",95,United States of America,['Nameless Productions'],https://cineb.net/movie/watch-kung-fu-ghost-free-85359
Into the Deep,4.5,"Follows a woman desperate to escape her town, she meets a stranger who promises a romantic escape, but it results in deceit, mistrust, and violence.",2022-07-31,Thriller,"['Jessica Alexander', 'Jack Morris', 'Nikkita Chadha', 'Matthew Daddario', 'Ella-Rae Smith']",90,United States of America,"['Tea Shop & Film Company', 'Signature Films']",https://cineb.net/movie/watch-into-the-deep-free-85356
Wash My Soul in the River's Flow,8.9,"Go behind the scenes, and onto the stage, of a legendary concert to discover the story of Archie Roach and Ruby Hunter, told in song – a story that should be told to every Australian.",2022-03-10,Documentary,"['Archie Roach', 'Ruby Hunter', 'Australian Art Orchestra', 'Paul Grabowsky']",89,Australia,[],https://cineb.net/movie/watch-wash-my-soul-in-the-rivers-flow-free-85329
The Ghost and the Tout Too,6.8,"A woman who can reluctantly communicate with ghosts tries to help the spirit of a woman whose body is in a coma, leaving her trapped between life and death.",2021-12-01,Comedy,"['Alexander Abolore', 'Anthony Abraham', 'Toyin Abraham', 'Lateef Adedimeji', 'Odunlade Adekola']",111,Nigeria,"['Film One Entertainment', 'Toyin Abraham Productions']",https://cineb.net/movie/watch-the-ghost-and-the-tout-too-free-85326
Give Them Wings,6.2,'Give Them Wings' is based on the true story of severely disabled football fan Paul Hodgson.,2021-11-20,Drama,"['Bill Fellows', 'Jacob Anderton', 'Toyah Willcox', 'Tracey Wilkinson', 'Debra Stephenson']",113,United Kingdom,"['Magnificent Films', 'GTW Productions', 'Shaking the Tree Productions']",https://cineb.net/movie/watch-give-them-wings-free-85323
A Splash of Love,6,"A PhD student expands her studies to include the whales of the Pacific Northwest. There she meets a whale watching tour guide and they soon find themselves bonding over more than just Orcas. Stars Rhiannon Fish, Ben Hollingsworth.",2022-07-30,TV Movie,"['Laura Soltis', 'Rhiannon Fish', 'Benjamin Hollingsworth', 'Juliana Wimbles', 'Madeleine Kelders']",84,Canada,['Johnson Production Group'],https://cineb.net/movie/watch-a-splash-of-love-free-85320
DC League of Super-Pets,7.3,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",2022-07-27,Animation,"['Dwayne Johnson', 'Natasha Lyonne', 'John Krasinski', 'Keanu Reeves', 'Jameela Jamil']",106,United States of America,"['Warner Animation Group', 'DC Entertainment', 'Animal Logic', 'Seven Bucks Productions', 'Warner Bros. Pictures']",https://cineb.net/movie/watch-dc-league-of-super-pets-free-85314
Toby Dammit,7.6,"Federico Fellini's adaptation of a story by Edgar Allan Poe. Originally appeared as a segment in the omnibus film ""Spirits of the Dead"" but has been theatrically presented as a separate film.",1969-01-01,Horror,"['Terence Stamp', 'Salvo Randone', 'Marina Yaru', 'Anne Tonietti']",43,Italy,"['Produzioni Europee Associate (PEA)', 'Les Films Marceau-Cocinor']",https://cineb.net/movie/watch-toby-dammit-free-85305
The Story of a Three-Day Pass,7.2,"Turner (Harry Baird), an African American soldier stationed in France, is granted a promotion and a three-day leave from base by his casually racist commanding officer and heads to Paris, where he finds whirlwind romance with a white woman (Nicole Berger)—but what happens to their love when his furlough is over?",1968-07-08,Romance,"['Nicole Berger', 'Pierre Doris', 'Harry Baird', 'Christian Marin']",87,France,['O.P.E.R.A.'],https://cineb.net/movie/watch-the-story-of-a-three-day-pass-free-85302
The Silence Before Bach,6.8,"This latest feature from the eccentrically experimental Catalan director Portabella is a beautiful, sometimes faintly bonkers celebration and contemplation of the role Bach’s music plays in the world today. Blending historical reconstruction with very loosely linked ‘dramatic’ scenes and documentary sequences, the film constitutes a playful, painterly sequence of variations on the argument that Johann Sebastian changed the way the world hears thanks to his extraordinary ear for harmony.",2007-12-21,Drama,"['Àlex Brendemühl', 'Féodor Atkine', 'Jordi Llordella', 'Christian Brembeck', 'Georg C. Biller']",102,Spain,['Films 59'],https://cineb.net/movie/watch-the-silence-before-bach-free-85299
The Man from Colorado,6.6,"Two friends return home after their discharge from the army after the Civil War. However, one of them has had deep-rooted psychological damage due to his experiences during the war, and as his behavior becomes more erratic--and violent--his friend desperately tries to find a way to help him.",1948-08-07,Western,"['Jerome Courtland', 'Jim Bannon', 'William Holden', 'James Millican', 'Edgar Buchanan']",100,United States of America,['Columbia Pictures'],https://cineb.net/movie/watch-the-man-from-colorado-free-85296
The Lonely Lady,3.1,"A young screenwriter allows others to exploit her in the hopes of ""making it"" in Hollywood.",1983-10-02,Drama,"['Joseph Cali', 'Lloyd Bochner', 'Pia Zadora', 'Glory Annen', 'Bibi Besch']",92,Italy,"['Universal Pictures', 'Harold Robbins International Company']",https://cineb.net/movie/watch-the-lonely-lady-free-85293
The Divine Move 2: The Wrathful,6.4,"In the 1990s, when Go gambling fever swept Korea, Gui-su loses everything because his father gambled obsessively until there was nothing left. Left all alone in the world, Gui-su meets a mentor and Go teacher, Il-do, and goes through vicious training to become the grandmaster of Go. He sets out for revenge on the world that destroyed his life, but soon finds himself chased by an unknown loner pursuing his own vendetta.",2019-11-07,Action,"['Kwon Sang-woo', 'Kim Hee-won', 'Kim Sung-kyun', 'Won Hyun-jun', 'Jung In-gyeom']",106,South Korea,"['CJ Entertainment', 'Mays Entertainment', '아지트필름']",https://cineb.net/movie/watch-the-divine-move-2-the-wrathful-free-85290
The Billionaire,7.7,"Inspired by a true story, this uplifting drama focuses on a young Thai entrepreneur's incredible business success, despite obstacles and self-doubt.",2011-10-20,Drama,"['Pachara Chirathivat', 'Walanlak Kumsuwan', 'Somboonsuk Niyomsiri', 'Chaiwat Anutrakulchai', 'Thanom Assawarungrueng']",124,Thailand,"['GMM Tai Hub (GTH)', 'Nadao Bangkok']",https://cineb.net/movie/watch-the-billionaire-free-85287
The Accidental Golfer,5.7,"I bet anyone can get better at golf than you are in one week, a golfer says to her golfing businessman for a boyfriend in a quarrel. Unfortunately Stig-Helmer is standing nearby when the boyfriend accepts the bet, and he is chosen to be the competitor. Stig-Helmer has never played the game before, but his Norwegian friend Ole promises to help him.",1991-12-25,Comedy,"['Jon Skolmen', 'Mats Bergman', 'Lasse Åberg', 'Hege Schøyen', 'Ulf Eklund']",107,United Kingdom,"['Svensk Filmindustri', 'Viking Films', 'Cinema Art', 'Smart Egg Pictures']",https://cineb.net/movie/watch-the-accidental-golfer-free-85284
The Accidental Detective,6.7,"Dae-man is a crime buff and the mastermind behind a popular site devoted to the nation's most notorious unsolved mysteries. His childhood dream was to become a homicide investigator, but after many failed attempts he is now the proprietor of a comic book shop. He's so ashamed of his inability to support his family that he's careful not to even make eye contact with his wife. He tries to stop going to the police station, but he keeps going back there. One day, Jun-su, his best friend and a detective, is arrested and accused of killing him. Dae-man decides to look into the situation because he wants to clear his friend's name. None but the old and tired here Noh, a fellow detective, offers his assistance when his partner gets into difficulty. Together, a blogger who specializes in cold cases and a veteran detective who has seen it all set out to solve their friend's death.",2015-09-24,Comedy,"['Seo Young-hee', 'Park Hae-joon', 'Kwon Sang-woo', 'Sung Dong-il', 'Jo Bok-rae']",120,South Korea,"['Cree Pictures', 'CJ Entertainment']",https://cineb.to/movie/watch-the-accidental-detective-free-85281
Tazza: One Eyed Jack,5.9,"Il-chul is one top of his game when it comes to playing poker. One day, he goes after one big score and takes out loans but loses everything and ends up with a massive debt. He's about to lose his hand for not being able to pay back the debt and barely saves become a poker shark himself, Il-chul begs 'One-eyed' to teach him everything he knows and joins 'One-eyed' team.",2019-09-11,Drama,"['Park Jung-min', 'Woo Hyeon', 'Yoon Je-moon', 'Choi Yu-hwa', 'Ryoo Seung-bum']",139,South Korea,"['MCMC', 'B.A. Entertainment', 'Sidus', 'Lotte Entertainment']",https://cineb.net/movie/watch-tazza-one-eyed-jack-free-85278
Slashers,5,"Japan's number one extreme reality show is having it's first all-American special! Six lucky contestants, chosen from thousands of applicants, will have the chance to win millions of dollars, and all they have to do is stay alive!",2001-01-01,Horror,"['Neil Napier', 'Sarah Joslyn Crowder', 'Tony Curtis Blondell', 'Carolina Pla', 'Jerry Sprio']",99,United States of America,['Screen Partners Ltd.'],https://cineb.net/movie/watch-slashers-free-85275
Original Cast Album: Company,8.1,"Stephen Sondheim's musical ""Company"" opened on Broadway in the Spring of 1970, and tradition dictates that the cast recording is done on the first Sunday after opening night. D.A. Pennebaker, the now-legendary documentarian, filmed the production of the original cast recording, the back and forth between Sondheim and the performers, and the dynamic of trying to record live performance. The film climaxes with Elaine Stritch's performance of ""The Ladies Who Lunch"". The show won 6 Tony Awards including ""Best Musical"" and ran for two years on Broadway. A plan to make a series of ""Original Cast Album"" films never materialized.",1970-01-01,Music,"['Stephen Sondheim', 'Elaine Stritch', 'Hal Prince', 'Pamela Myers', 'Dean Jones']",53,United States of America,"['Castle Drive', 'Talent Associates-Norton Simon']",https://cineb.net/movie/watch-original-cast-album-company-free-85272
No Regret,7.3,Five gay Black men who are HIV-positive discuss how they are battling the double stigmas surrounding their infection and homosexuality.,1993-06-25,Documentary,"['Reggie Williams', 'Michael Lee', 'Joseph Long', 'Assoto Saint']",38,United States of America,[],https://cineb.net/movie/watch-no-regret-free-85269
The Dogs,6.4,"After several inhabitants of a new city were bitten by dogs, a young doctor tries to stop to the climb of violence.",1979-03-07,Thriller,"['Pierre Vernier', 'Gérard Depardieu', 'Nicole Calfan', 'Victor Lanoux', 'Fanny Ardant']",100,France,"['Les Films de la Drouette', 'A.J. Films', 'A.M.S. Productions']",https://cineb.net/movie/watch-the-dogs-free-85266
John Lennon: Love Is All You Need,6.1,"This incredible documentary features in-depth contributions from wives Yoko Ono and Cynthia Lennon, son Julian Lennon and many previously unseen interviews with John himself.  Through rare footage, we learn of his rise to fame with the Beatles, his divorce from Cynthia, his first meeting with Yoko, split-up of the band, and his decision to become a solo artist and advocate for world peace.",2010-01-01,Documentary,"['George Harrison', 'John Lennon', 'Julian Lennon', 'Yoko Ono', 'Ringo Starr']",82,United Kingdom,['A2B Media'],https://cineb.net/movie/watch-john-lennon-love-is-all-you-need-free-85263
The Boom,7.1,"Sweet-sour comedy on Italy's 1950s rage to get rich as fast as possible! The businessman wants to satisfy his wife's craving for luxury and a ""respectable life"" so he becomes heavily indebted. In desperation he agrees to sell a precious part of his body for a large sum of money. But just before the crucial operation he panics...",1963-09-24,Comedy,"['Ettore Geri', 'Alberto Sordi', 'Gianna Maria Canale', 'John Karlsen', 'Maria Grazia Buccella']",89,Italy,['Dino de Laurentiis Cinematografica'],https://cineb.net/movie/watch-the-boom-free-85260
Human Animals,5,"Two men and one woman are the last people on Earth. They are reduced to savagery, mate with the woman, and they learn to survive on a deserted island.",1983-01-28,Science Fiction,"['José Yepes', 'Carole Kirkham', 'Geir Indvard', 'The Dog']",97,Spain,[],https://cineb.net/movie/watch-human-animals-free-85257
Desire,7.1,"Madeleine steals a string of pearls from a Paris jewelry store and sends them to Tom, an American engineer on holiday in Spain. However, if you don't fall in love with him, retrieving the pearls from him proves to be a challenge.",1936-04-11,Romance,"['Marlene Dietrich', 'Akim Tamiroff', 'William Frawley', 'Ernest Cossart', 'John Halliday']",95,United States of America,['Paramount'],https://cineb.to/movie/watch-desire-free-85254
2 or 3 Things I Know About Her,6.6,"As the city of Paris and the French people grow in consumer culture, a housewife living in a high-rise apartment with her husband and two children takes to prostitution to help pay the bills.",1967-03-17,Comedy,"['Marina Vlady', 'Anny Duperey', 'Yves Beneyton', 'Raoul Lévy', 'Juliet Berto']",87,France,"['Les Films du Carrosse', 'Parc Film', 'Anouchka Films', 'Argos Films']",https://cineb.net/movie/watch-2-or-3-things-i-know-about-her-free-85251
The Stepmother,3.4,"After a recently widowed single father moves to a new town, a new mysterious woman threatens his relationship with his son and their safety.",2022-06-17,Thriller,"['Marques Houston', 'Charles Malik Whitfield', 'Tanee McCall', 'Cynthia Bailey', 'Kida Burns']",98,United States of America,['Footage Films'],https://cineb.net/movie/watch-the-stepmother-free-85224
The Entitled,4.7,"Suddenly catapulted into high society, a young woman who lacks a bit of finesse tries to integrate into her new surroundings.",2022-06-08,Romance,"['Alex Gonzaga', 'Ara Mina', 'JC de Vera', 'Johnny Revilla', 'Melai Cantiveros']",90,Philippines,[],https://cineb.net/movie/watch-the-entitled-free-85221
Sins of the Father: The Green River Killer,6.6,"The documentary explores what it’s like to grow up the child of one of the most prolific serial killers in American history, Gary Ridgway, the infamous Green River Killer. This special unpacks Ridgway’s horrific crimes, the double life he led, the twenty-year police investigation that brought him down, and the long-lasting effects of a father’s unspeakable sins on his son and family.",2022-06-15,Documentary,"['Chopper Bernet', 'Stephanie Harlowe', 'Adam Wilson', 'Mark E. Safarik', 'Olivia LaVoice']",84,United States of America,['Tubi TV'],https://cineb.net/movie/watch-sins-of-the-father-the-green-river-killer-free-85218
Section 8,4.2,"After avenging the murder of his family, a former soldier is sprung from prison and recruited by a shadowy government agency.",2022-09-23,Thriller,"['Robert LaSardo', 'Dolph Lundgren', 'Ryan Kwanten', 'Scott Adkins', 'Mickey Rourke']",98,United States of America,['Firebrand'],https://cineb.net/movie/watch-section-eight-free-85215
NYC Point Gods,7.3,"An in-depth look at the legendary point guards of New York City who honed their craft and developed their legendary showmanship in the 1980s and ’90s. The documentary spotlights the ascent of Rafer Alston, Kenny Anderson, Mark Jackson, Stephon Marbury, God Shammgod, Kenny Smith, Rod Strickland and Dwayne “Pearl” Washington in the midst of a cultural renaissance.",2022-07-29,Documentary,"['Kenny Smith', 'Kenny Anderson']",83,United States of America,['Showtime Documentary Films'],https://cineb.net/movie/watch-nyc-point-gods-free-85212
It Snows All the Time,5.8,"When Paul is diagnosed with young onset Frontotemporal Dementia at 58, his family comes closer together than ever before. Along the way, he and his middle son Jesse learn many things about each other by working on Paul's old truck, finally taking it for one last fishing trip together.",2022-07-29,Drama,"['Brett Cullen', 'John Beasley', 'Erich Hover', 'Sterling Knight']",90,United States of America,"['Camera and a Dream Productions', 'Present Day Productions']",https://cineb.net/movie/watch-it-snows-all-the-time-free-85209
Eradication,4,"An individual who possesses blood that is unlike that of other people is segregated and studied after the majority of the world's population is wiped out by an unidentified illness. Because he is concerned for the wellbeing of his wife, he decides to break his quarantine and enter a world that has been taken over by monstrous infected and is being patrolled by a mysterious organization.",2022-07-15,Horror,"['Harry Aspinwall', 'Anita Abdinezhad', 'Christian Masters']",84,United States of America,"['Kinogo Pictures', 'Dakoit Pictures', 'Dark Tower Films']",https://cineb.to/movie/watch-eradication-free-85206
Andrew Schulz: Infamous,7.7,"Andrew Schulz delivers his latest comedy special INFAMOUS, a daring, raw performance filmed during his 10 month sold-out' ""Infamous Tour"" at The Paramount in Austin, TX. For Schulz nothing is off limits. There's only one rule at his shows - everyone gets these jokes.",2022-07-17,Comedy,['Andrew Schulz'],57,United States of America,['Comedy Dynamics'],https://cineb.net/movie/watch-andrew-schulz-infamous-free-85203
Sins of the Father: The Green River Killer,6.6,"The documentary explores what it’s like to grow up the child of one of the most prolific serial killers in American history, Gary Ridgway, the infamous Green River Killer. This special unpacks Ridgway’s horrific crimes, the double life he led, the twenty-year police investigation that brought him down, and the long-lasting effects of a father’s unspeakable sins on his son and family.",2022-06-15,Documentary,"['Chopper Bernet', 'Stephanie Harlowe', 'Adam Wilson', 'Mark E. Safarik', 'Olivia LaVoice']",84,United States of America,['Tubi TV'],https://cineb.net/movie/watch-sins-of-the-father-the-green-river-killer-free-85218
