Title,Address,Rent Price,Surface,Rooms,Interior Status,Agency,Contact,Link
Apartment Gaaspstraat 25 B,1079 VB Amsterdam (Rijnbuurt),"2,000 ",51 ,3 ,Upholstered,Oei Housing Amsterdam - Expat Apartments,+31619015919,https://www.pararius.com/apartment-for-rent/amsterdam/476805b6/gaaspstraat
Apartment Mercuriusplein 3 C,1033 AZ Amsterdam (Tuindorp Oostzaan),"1,240 ",47 ,2 ,Shell,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/73f30a05/mercuriusplein
Apartment Finsenstraat 74,1098 RJ Amsterdam (Middenmeer),"2,750 ",120 ,4 ,Upholstered,King Housing,+31202336369,https://www.pararius.com/apartment-for-rent/amsterdam/7beafe8d/finsenstraat
Apartment Pieter Calandlaan,1069 SC Amsterdam (Osdorp-Midden),"1,750 ",105 ,5 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/apartment-for-rent/amsterdam/2e996260/pieter-calandlaan
Apartment Nieuwendijk 36 2,1012 ML Amsterdam (Burgwallen-Nieuwe Zijde),"2,750 ",90 ,4 ,Upholstered,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/36ab45f4/nieuwendijk
Apartment Nieuwendijk 36 1,1012 ML Amsterdam (Burgwallen-Nieuwe Zijde),"1,850 ",57 ,2 ,Upholstered,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/be51316c/nieuwendijk
Apartment Sprinklerstraat 37,1019 VR Amsterdam (Oostelijk Havengebied),"1,850 ",62 ,2 ,Upholstered,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/a12b09ac/sprinklerstraat
Apartment De Lairessestraat 172 1,1075 HM Amsterdam (Willemspark),"2,750 ",84 ,3 ,Furnished,Oei Housing Amsterdam - Expat Apartments,+31619015919,https://www.pararius.com/apartment-for-rent/amsterdam/1d279bf7/de-lairessestraat
Apartment Marcusstraat,1091 TJ Amsterdam (Weesperzijde),"2,000 ",49 ,2 ,Furnished,Amsterdam Property Renting,+31614947873,https://www.pararius.com/apartment-for-rent/amsterdam/ffb54479/marcusstraat
Apartment Prinsengracht,1017 KH Amsterdam (De Weteringschans),"3,500 ",75 ,3 ,Furnished,Amsterdam Rentals,+31206207818,https://www.pararius.com/apartment-for-rent/amsterdam/88cec3f5/prinsengracht
Apartment Van Oldenbarneveldtstraat,1052 JV Amsterdam (Frederik Hendrikbuurt),"2,850 ",115 ,3 ,Furnished,Grand Apartments Amsterdam,+31652047074,https://www.pararius.com/apartment-for-rent/amsterdam/95cd4236/van-oldenbarneveldtstraat
Apartment IJselstraat 34 L,1078 CJ Amsterdam (IJselbuurt),"2,500 ",70 ,3 ,Upholstered or furnished,Hollandsche Makelaardij,+31640592129,https://www.pararius.com/apartment-for-rent/amsterdam/bfc0c1f0/ijselstraat
Apartment Van Nijenrodeweg,1083 EL Amsterdam (Buitenveldert-Oost),"1,850 ",88 ,3 ,Furnished,Friedmann Housing,+31614669502,https://www.pararius.com/apartment-for-rent/amsterdam/af656ae8/van-nijenrodeweg
Apartment Esther de Boer-van Rijkstraat,1065 GN Amsterdam (Slotervaart Zuid),"1,800 ",66 ,3 ,Furnished,HouseHunting Randstad,+31307210909,https://www.pararius.com/apartment-for-rent/amsterdam/4b72ccc8/esther-de-boer-van-rijkstraat
Apartment Nieuwe Spiegelstraat 48 1,1017 DG Amsterdam (Grachtengordel-Zuid),"2,250 ",70 ,3 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/d12436d0/nieuwe-spiegelstraat
Apartment Albert Cuypstraat 31 1,1072 CL Amsterdam (Oude Pijp),"1,950 ",50 ,2 ,Upholstered or furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/apartment-for-rent/amsterdam/911fea3d/albert-cuypstraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Bolestein 792,1081 ER Amsterdam (Buitenveldert-West),"2,250 ",88 ,4 ,Furnished,Hoen Vastgoedbeheer,+31203054477,https://www.pararius.com/apartment-for-rent/amsterdam/f553e911/bolestein
Apartment Ruyschstraat 99 3,1091 BZ Amsterdam (Oosterparkbuurt),"2,600 ",80 ,3 ,Upholstered or furnished,Rossetti Residence,+31615208369,https://www.pararius.com/apartment-for-rent/amsterdam/a6bb2b9c/ruyschstraat
Apartment Vondelstraat,1054 GE Amsterdam (Vondelbuurt),"2,850 ",125 ,3 ,Undefined,Von Poll Real Estate - Centrum,+31202159988,https://www.pararius.com/apartment-for-rent/amsterdam/0a04ce9b/vondelstraat
Apartment Utrechtsestraat,1017 VP Amsterdam (Grachtengordel-Zuid),"2,450 ",120 ,2 ,Furnished,Cosmo Housing,+31646614594,https://www.pararius.com/apartment-for-rent/amsterdam/9242638f/utrechtsestraat
House Holbeinstraat,1077 VC Amsterdam (Apollobuurt),"6,000 ",201 ,5 ,Upholstered,BrinkBorgh Makelaardij,+31206709992,https://www.pararius.com/house-for-rent/amsterdam/a614863d/holbeinstraat
Apartment Herengracht,1015 BD Amsterdam (Grachtengordel-West),"2,750 ",100 ,3 ,Furnished,Relocation-Amsterdam,+31203317373,https://www.pararius.com/apartment-for-rent/amsterdam/2c9c35ab/herengracht
Apartment Huidekoperstraat,1017 ZM Amsterdam (De Weteringschans),"2,100 ",65 ,3 ,Furnished,City Homes,+31206250071,https://www.pararius.com/apartment-for-rent/amsterdam/a53dd599/huidekoperstraat
Apartment Woestduinstraat,1059 TA Amsterdam (Hoofddorppleinbuurt),"1,850 ",55 ,2 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/f0eeeaf3/woestduinstraat
Apartment Nieuwezijds Voorburgwal,1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde),"3,000 ",100 ,3 ,Furnished,HB Housing,+31206170379,https://www.pararius.com/apartment-for-rent/amsterdam/6faf75a1/nieuwezijds-voorburgwal
Apartment Nieuwezijds Voorburgwal 18 B,1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde),"3,000 ",100 ,3 ,Furnished,HB Housing,+31206170379,https://www.pararius.com/apartment-for-rent/amsterdam/e106ebf2/nieuwezijds-voorburgwal
Apartment Nieuwezijds Voorburgwal 18 D,1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde),"3,250 ",100 ,3 ,Furnished,HB Housing,+31206170379,https://www.pararius.com/apartment-for-rent/amsterdam/29e8b521/nieuwezijds-voorburgwal
Apartment Loenermark,1025 TP Amsterdam (Buikslotermeer),"1,950 ",75 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/bb520f2a/loenermark
Apartment Weerdestein 90,1083 GG Amsterdam (Buitenveldert-Oost),"2,600 ",110 ,4 ,Furnished,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/84c8657e/weerdestein
Apartment Leenhofstraat,1067 KW Amsterdam (Geuzenveld),"1,750 ",69 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/efc8551c/leenhofstraat
Apartment Elandsgracht,1016 TV Amsterdam (Jordaan),"2,750 ",100 ,3 ,Upholstered,First Class Housing,+31208110811,https://www.pararius.com/apartment-for-rent/amsterdam/3b786cf1/elandsgracht
Apartment Brittenburg 39,1082 BS Amsterdam (Buitenveldert-West),"1,750 ",65 ,3 ,Upholstered or furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/apartment-for-rent/amsterdam/36e916f3/brittenburg
Apartment Bosrankstraat,1032 LH Amsterdam (Noordelijke IJ-oevers West),"2,200 ",85 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/1dd4f8b2/bosrankstraat
House Prinsengracht 751,1017 JX Amsterdam (Grachtengordel-Zuid),"5,950 ",265 ,8 ,Upholstered or furnished,Amstelland Makelaars,+31203209080,https://www.pararius.com/house-for-rent/amsterdam/e95a7a9a/prinsengracht
Apartment Staringstraat,1054 VR Amsterdam (Overtoomse Sluis),"1,800 ",75 ,3 ,Shell,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/568711df/staringstraat
Apartment Bloemgracht,1015 TJ Amsterdam (Jordaan),"2,500 ",87 ,3 ,Furnished,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/feb37870/bloemgracht
Apartment Haarlemmerdijk,1013 JK Amsterdam (Haarlemmerbuurt),"1,600 ",50 ,2 ,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/d0b22993/haarlemmerdijk
Apartment Galvanistraat 4 H,1098 NL Amsterdam (Middenmeer),"2,250 ",90 ,4 ,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/apartment-for-rent/amsterdam/58b5f4c9/galvanistraat
Apartment Ceintuurbaan 93 3+4,1072 EX Amsterdam (Oude Pijp),"2,495 ",95 ,3 ,Undefined,Rappange Makelaardij,+31206240363,https://www.pararius.com/apartment-for-rent/amsterdam/97469b65/ceintuurbaan
Apartment Nieuwe Herengracht,1011 RL Amsterdam (Nieuwmarkt/Lastage),"2,500 ",80 ,3 ,Furnished,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/8c1fc7fb/nieuwe-herengracht
Apartment Herengracht,1017 BS Amsterdam (Grachtengordel-Zuid),"1,950 ",55 ,2 ,Upholstered or furnished,BrinkBorgh Makelaardij,+31206709992,https://www.pararius.com/apartment-for-rent/amsterdam/bedd0c91/herengracht
Apartment Wijttenbachstraat 64 E,1093 JG Amsterdam (Dapperbuurt),"1,650 ",36 ,2 ,Furnished,Yourhome Makelaars,+31203706020,https://www.pararius.com/apartment-for-rent/amsterdam/38c24584/wijttenbachstraat
Apartment Johan Hofmanstraat,1069 KE Amsterdam (Osdorp-Midden),"2,250 ",96 ,3 ,Furnished,Amsterdam Property Renting,+31614947873,https://www.pararius.com/apartment-for-rent/amsterdam/85f64e15/johan-hofmanstraat
Apartment Faas Wilkesstraat,1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,450 ",105 ,3 ,Upholstered,Hendriks Housing,+31202616266,https://www.pararius.com/apartment-for-rent/amsterdam/548f64e7/faas-wilkesstraat
Apartment Van Spilbergenstraat 96 3,1057 RL Amsterdam (Hoofdweg e.o.),"1,950 ",75 ,3 ,Upholstered,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/774f71c9/van-spilbergenstraat
Apartment Eerste Hugo de Grootstraat,1052 KK Amsterdam (Frederik Hendrikbuurt),"2,300 ",65 ,3 ,Furnished,PropertyManager Amsterdam,+31202251014,https://www.pararius.com/apartment-for-rent/amsterdam/74d402e5/eerste-hugo-de-grootstraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Wildenborch 75 PP,1082 KC Amsterdam (Buitenveldert-West),"3,250 ",135 ,4 ,Upholstered,Amstelland Makelaars,+31203209080,https://www.pararius.com/apartment-for-rent/amsterdam/ec4b6059/wildenborch
Apartment Jacob Catskade,1052 CB Amsterdam (Staatsliedenbuurt),"2,650 ",90 ,3 ,Furnished,Inter Immo Amsterdam,+31203317567,https://www.pararius.com/apartment-for-rent/amsterdam/042ec9aa/jacob-catskade
Apartment Zeeburgerkade,1019 HR Amsterdam (Oostelijk Havengebied),"2,000 ",107 ,3 ,Upholstered,Bosma Makelaardij,+31615306499,https://www.pararius.com/apartment-for-rent/amsterdam/554aec59/zeeburgerkade
Apartment Valeriusstraat 60 II,1071 ML Amsterdam (Museumkwartier),"3,950 ",130 ,5 ,Upholstered,Valerius Rentals,+31208912820,https://www.pararius.com/apartment-for-rent/amsterdam/e1b67d65/valeriusstraat
Apartment Beethovenstraat,1077 JW Amsterdam (Apollobuurt),"2,250 ",120 ,4 ,Furnished,Covers & Jonker Makelaars BV,+31302520500,https://www.pararius.com/apartment-for-rent/amsterdam/dcb38f7f/beethovenstraat
Apartment Louis Davidsstraat,1068 SJ Amsterdam (Osdorp-Oost),"2,250 ",60 ,2 ,Undefined,I AM REAL ESTATE,+31202103333,https://www.pararius.com/apartment-for-rent/amsterdam/29d96786/louis-davidsstraat
Apartment Boomstraat 23 A,1015 LA Amsterdam (Jordaan),"3,850 ",125 ,5 ,Furnished,De Graaf & Groot Makelaars,+31206627140,https://www.pararius.com/apartment-for-rent/amsterdam/affb17b5/boomstraat
Apartment Havikshorst,1083 TT Amsterdam (Buitenveldert-Oost),"1,600 ",47 ,2 ,Undefined,Ramón Mossel Makelaardij,+31203052662,https://www.pararius.com/apartment-for-rent/amsterdam/fc0eb275/havikshorst
Apartment Reyer Anslostraat 17 2,1054 KT Amsterdam (Overtoomse Sluis),"2,750 ",112 ,4 ,Undefined,Raadsheer Baart,+31206830924,https://www.pararius.com/apartment-for-rent/amsterdam/892d8273/reyer-anslostraat
House Liedekerkeplantsoen 24,1066 WP Amsterdam (Sloter-/Riekerpolder),"1,950 ",120 ,4 ,Undefined,Forte Makelaars,+31203459632,https://www.pararius.com/house-for-rent/amsterdam/bcd0872d/liedekerkeplantsoen
Apartment Saxenburgerstraat 12 1,1054 KP Amsterdam (Overtoomse Sluis),"2,250 ",65 ,2 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/70df856b/saxenburgerstraat
Apartment Dusartstraat 41 1,1072 HN Amsterdam (Nieuwe Pijp),"2,100 ",55 ,3 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/01465e67/dusartstraat
Apartment Joos Banckersweg 21 2,1056 ER Amsterdam (Landlust),"1,950 ",80 ,2 ,Furnished,Expat Rental Scout,+31207609303,https://www.pararius.com/apartment-for-rent/amsterdam/4b704d81/joos-banckersweg
Apartment Schierstins,1082 TE Amsterdam (Buitenveldert-West),"1,600 ",63 ,3 ,Furnished,Homecrew,/real-estate-agents/amsterdam/homecrew,https://www.pararius.com/apartment-for-rent/amsterdam/d7e572fe/schierstins
Apartment Weesperzijde,1091 EJ Amsterdam (Weesperzijde),"2,500 ",78 ,3 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1d69a7ba/weesperzijde
House Linnaeusparkweg,1098 EP Amsterdam (Middenmeer),"2,500 ",111 ,3 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/house-for-rent/amsterdam/1c861b73/linnaeusparkweg
Apartment Herengracht 248 A,1016 BV Amsterdam (Grachtengordel-West),"3,250 ",151 ,3 ,Furnished,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/8b72a26f/herengracht
Apartment Saxen-Weimarlaan 20,1075 CB Amsterdam (Willemspark),"5,000 ",170 ,6 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/6a2d583b/saxen-weimarlaan
Apartment Tuinstraat 179 3,1015 PC Amsterdam (Jordaan),"3,500 ",105 ,3 ,Furnished,Urban Homies,+31202617463,https://www.pararius.com/apartment-for-rent/amsterdam/4693ada2/tuinstraat
Apartment Papaverweg,1032 KH Amsterdam (Volewijck),"1,395 ",40 ,2 ,Upholstered,A&N Vastgoed,+31703586391,https://www.pararius.com/apartment-for-rent/amsterdam/4fcda385/papaverweg
Apartment Nieuw Herlaer,1083 BC Amsterdam (Buitenveldert-Oost),"2,350 ",128 ,3 ,Undefined,Rijsterborgh Makelaars,+31206451146,https://www.pararius.com/apartment-for-rent/amsterdam/c2b7001e/nieuw-herlaer
Apartment Kuipersstraat,1073 ER Amsterdam (Nieuwe Pijp),"2,400 ",53 ,3 ,Furnished,Verhoef Vastgoed,+31203313781,https://www.pararius.com/apartment-for-rent/amsterdam/7df3cf03/kuipersstraat
Apartment Pieter Aertszstraat,1073 SK Amsterdam (Nieuwe Pijp),"2,500 ",60 ,3 ,Upholstered,Amstel Vastgoed,+31202233061,https://www.pararius.com/apartment-for-rent/amsterdam/ef8801fd/pieter-aertszstraat
Apartment Willem Frederik Hermansstraat 69,1011 DG Amsterdam (Nieuwmarkt/Lastage),"3,750 ",122 ,4 ,Upholstered,Renthouse Vastgoed,+31203030609,https://www.pararius.com/apartment-for-rent/amsterdam/01af672e/willem-frederik-hermansstraat
Apartment Prinseneiland 50 2L,1013 LR Amsterdam (Haarlemmerbuurt),"2,700 ",110 ,3 ,Furnished,Renthouse Vastgoed,+31203030609,https://www.pararius.com/apartment-for-rent/amsterdam/30a9bbf8/prinseneiland
Apartment Nicolaas Maesstraat 65 3,1071 PR Amsterdam (Museumkwartier),"2,500 ",62 ,3 ,Undefined,Recourt Makelaars,+31206275011,https://www.pararius.com/apartment-for-rent/amsterdam/8e752227/nicolaas-maesstraat
Apartment Baarsjesweg 250 3,1058 AB Amsterdam (Westindische Buurt),"2,000 ",90 ,2 ,Furnished,Expat Rental Scout,+31207609303,https://www.pararius.com/apartment-for-rent/amsterdam/3a339818/baarsjesweg
House Balearenlaan 82,1060 TM Amsterdam (Middelveldsche Akerpolder),"2,500 ",210 ,7 ,Furnished,EHR Amsterdam,+31202082107,https://www.pararius.com/house-for-rent/amsterdam/9480dc5f/balearenlaan
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),"2,100 ",80 ,3 ,Undefined,Wooove B.V.,+31858085200,https://www.pararius.com/apartment-for-rent/amsterdam/21cc26fb/koningin-wilhelminaplein
Apartment Reijnier Vinkeleskade 64 D,1071 SX Amsterdam (Museumkwartier),"5,000 ",120 ,4 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/0a1975e6/reijnier-vinkeleskade
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Waldeck Pyrmontlaan 4 IV,1075 BV Amsterdam (Willemspark),"3,250 ",120 ,3 ,Undefined,Valerius Rentals,+31208912820,https://www.pararius.com/apartment-for-rent/amsterdam/ddbddcaa/waldeck-pyrmontlaan
Apartment Hagedoornplein 20,1031 BV Amsterdam (Volewijck),"4,000 ",141 ,5 ,Upholstered,DSTRCT Amsterdam,+31203309454,https://www.pararius.com/apartment-for-rent/amsterdam/4ea35568/hagedoornplein
Apartment Kalkmarkt,1011 BC Amsterdam (Nieuwmarkt/Lastage),"2,750 ",125 ,5 ,Furnished,HouseHunting Randstad,+31307210909,https://www.pararius.com/apartment-for-rent/amsterdam/f125bb67/kalkmarkt
Apartment Kalkmarkt,1011 BC Amsterdam (Nieuwmarkt/Lastage),"2,350 ",95 ,3 ,Furnished,HouseHunting Randstad,+31307210909,https://www.pararius.com/apartment-for-rent/amsterdam/807079c9/kalkmarkt
Apartment Cliostraat,1077 KA Amsterdam (Apollobuurt),"2,250 ",70 ,3 ,Furnished,Amsterdam Rentals,+31206207818,https://www.pararius.com/apartment-for-rent/amsterdam/483a67ac/cliostraat
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),"5,000 ",170 ,5 ,Furnished,Roomservice Amsterdam,+31637228623,https://www.pararius.com/apartment-for-rent/amsterdam/3cd99910/willem-frederik-hermansstraat
Apartment Falckstraat 49 3,1017 VV Amsterdam (De Weteringschans),"3,500 ",140 ,4 ,Upholstered,HousingNet,+31207601500,https://www.pararius.com/apartment-for-rent/amsterdam/7982b1f6/falckstraat
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),"2,150 ",68 ,2 ,Furnished,Roomservice Amsterdam,+31637228623,https://www.pararius.com/apartment-for-rent/amsterdam/25d905a8/willem-frederik-hermansstraat
Apartment Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers West),"3,250 ",98 ,3 ,Furnished,Brinkman Fine Real Estate,+31202441962,https://www.pararius.com/apartment-for-rent/amsterdam/7f31dbd7/ridderspoorweg
Apartment Dusartstraat,1072 HT Amsterdam (Nieuwe Pijp),"2,150 ",67 ,2 ,Upholstered,LV Housing,+31202101114,https://www.pararius.com/apartment-for-rent/amsterdam/21badd63/dusartstraat
Apartment Jan van Duivenvoordestraat 157,1067 MT Amsterdam (Geuzenveld),"2,100 ",94 ,3 ,Furnished,Expat Rental Scout,+31207609303,https://www.pararius.com/apartment-for-rent/amsterdam/0f902e52/jan-van-duivenvoordestraat
Apartment Koninginneweg 225 2,1075 CS Amsterdam (Willemspark),"3,450 ",75 ,3 ,Furnished,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/0f8428d9/koninginneweg
Apartment Zocherstraat 12 4,1054 LX Amsterdam (Overtoomse Sluis),"2,295 ",90 ,4 ,Undefined,Rappange Makelaardij,+31206240363,https://www.pararius.com/apartment-for-rent/amsterdam/915ad508/zocherstraat
Apartment Rosmarijnsteeg,1012 RP Amsterdam (Burgwallen-Nieuwe Zijde),"2,100 ",50 ,2 ,Furnished,Housing Agency,+31207723915,https://www.pararius.com/apartment-for-rent/amsterdam/5fc9d93a/rosmarijnsteeg
Apartment Ertskade 178,1019 BB Amsterdam (Oostelijk Havengebied),"1,775 ",78 ,3 ,Upholstered,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/eff62339/ertskade
Apartment Stadionweg 37 III,1077 RW Amsterdam (Apollobuurt),"6,250 ",232 ,6 ,Upholstered,Valerius Rentals,+31208912820,https://www.pararius.com/apartment-for-rent/amsterdam/8bbd4d82/stadionweg
Apartment Boutenburg 231,1068 ZE Amsterdam (Osdorp-Oost),"2,300 ",65 ,3 ,Furnished,Amsterdam Housing,+31206717266,https://www.pararius.com/apartment-for-rent/amsterdam/524f2370/boutenburg
Apartment Bellamystraat,1053 BG Amsterdam (Kinkerbuurt),"3,950 ",100 ,4 ,Undefined,Van Maarschalkerwaart Makelaars,+31205721111,https://www.pararius.com/apartment-for-rent/amsterdam/38c5a4be/bellamystraat
Apartment Kastanjeweg 2 HS,1092 CE Amsterdam (Oosterparkbuurt),"3,250 ",130 ,4 ,Undefined,Smit & Heinen Makelaars en Taxateurs,+31206727074,https://www.pararius.com/apartment-for-rent/amsterdam/6fd04de0/kastanjeweg
Apartment Rubensstraat,1077 MV Amsterdam (Apollobuurt),"3,750 ",127 ,5 ,Furnished,Heeren Makelaars B.V.,+31204702255,https://www.pararius.com/apartment-for-rent/amsterdam/fba7c038/rubensstraat
Apartment Burmanstraat,1091 SK Amsterdam (Weesperzijde),"1,795 ",50 ,2 ,Furnished,A Plus Apartments,+31204422170,https://www.pararius.com/apartment-for-rent/amsterdam/761b73ca/burmanstraat
Apartment Juliana van Stolbergstraat,1055 RM Amsterdam (Landlust),"2,975 ",52 ,3 ,Furnished,NEWCURB Makelaars,+31852007840,https://www.pararius.com/apartment-for-rent/amsterdam/f6815a75/juliana-van-stolbergstraat
Apartment Bilderdijkstraat,1052 NA Amsterdam (Da Costabuurt),"2,250 ",80 ,3 ,Upholstered,Expathousing.com (Amsterdam),+31206622366,https://www.pararius.com/apartment-for-rent/amsterdam/f6a37f19/bilderdijkstraat
Apartment Amstelkade,1078 BA Amsterdam (Scheldebuurt),"2,700 ",104 ,4 ,Undefined,Heeren Makelaars B.V.,+31204702255,https://www.pararius.com/apartment-for-rent/amsterdam/6d1d3cb2/amstelkade
Apartment Sarphatistraat 678,1018 AV Amsterdam (Oostelijke Eilanden/Kadijken),"2,200 ",75 ,3 ,Furnished,Oei Housing Amsterdam - Expat Apartments,+31619015919,https://www.pararius.com/apartment-for-rent/amsterdam/af763da2/sarphatistraat
Apartment Termini 167,1025 XM Amsterdam (Buikslotermeer),"1,270 ",53 ,2 ,Shell,LIV Residential,/real-estate-agents/amsterdam/liv-residential-amsterdam-4,https://www.pararius.com/apartment-for-rent/amsterdam/07419fb3/termini
Apartment Vrijheidslaan 11 3,1079 KA Amsterdam (Rijnbuurt),"2,750 ",100 ,4 ,Furnished,Holland Home Management,+31203547195,https://www.pararius.com/apartment-for-rent/amsterdam/3c8678e0/vrijheidslaan
Apartment Tommaso Albinonistraat 164 2 pp,1083 HM Amsterdam (Zuidas),"7,750 ",177 ,3 ,Furnished,Makelaarskantoor Carla van den Brink,+31206717272,https://www.pararius.com/apartment-for-rent/amsterdam/b9f536f4/tommaso-albinonistraat
Studio Schaarsbergenstraat 39,1107 JS Amsterdam (Holendrecht/Reigersbos),"1,200 ",34 ,1 room,Furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/studio-for-rent/amsterdam/f52e814f/schaarsbergenstraat
Apartment Scheldestraat,1078 GE Amsterdam (Scheldebuurt),"2,500 ",89 ,4 ,Upholstered,BrinkBorgh Makelaardij,+31206709992,https://www.pararius.com/apartment-for-rent/amsterdam/9fc9c95f/scheldestraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Reguliersdwarsstraat 2 III,1017 BM Amsterdam (Grachtengordel-Zuid),"1,800 ",55 ,2 ,Upholstered,Makelaarshuis Amsterdam - Zaanstad,+31650566505,https://www.pararius.com/apartment-for-rent/amsterdam/a36d45e4/reguliersdwarsstraat
Apartment Johannes Verhulststraat,1075 HB Amsterdam (Willemspark),"5,850 ",245 ,9 ,Upholstered,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/3c99cd8b/johannes-verhulststraat
Apartment Rapenburgerstraat,1011 VM Amsterdam (Nieuwmarkt/Lastage),"3,250 ",125 ,4 ,Upholstered,Interhouse verhuurmakelaars Amsterdam,+31208450527,https://www.pararius.com/apartment-for-rent/amsterdam/b1877e7a/rapenburgerstraat
Apartment Jan van Duivenvoordestraat 119,1067 MT Amsterdam (Geuzenveld),"1,900 ",95 ,4 ,Furnished,Renthouse Vastgoed,+31203030609,https://www.pararius.com/apartment-for-rent/amsterdam/62b29d3d/jan-van-duivenvoordestraat
Apartment Gustav Mahlerlaan,1082 ME Amsterdam (Zuidas),"3,950 ",112 ,3 ,Furnished,Eefje Voogd Makelaardij,+31203050560,https://www.pararius.com/apartment-for-rent/amsterdam/fd480ae9/gustav-mahlerlaan
Apartment Leidsekade 102 D,1017 PP Amsterdam (De Weteringschans),"4,500 ",141 ,3 ,Furnished,Urban Homies,+31202617463,https://www.pararius.com/apartment-for-rent/amsterdam/789e19dd/leidsekade
Apartment Prinsengracht 17 C,1015 DK Amsterdam (Grachtengordel-West),"2,300 ",80 ,4 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/d45e203c/prinsengracht
